호선,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
6호선,구산,19,0,6052,166,11359,2302,30675,5985,36064,7166,21178,6029,14567,5229,13664,6781,13828,7214,11970,7972,10523,8719,11510,10859,12511,13675,10745,16156,9748,21628,5790,19798,4594,10846,3825,9785,3603,8533,1213,5098,136,1368,0,0,0,0,0,0,20231103
6호선,녹사평(용산구청),25,1,1280,529,2176,4551,4890,8726,7741,16606,6586,8937,5222,7620,5579,8077,6590,9393,7293,10137,7447,10097,9549,11431,12771,11854,15396,13615,19406,15368,13194,10193,11747,6423,12205,5493,10320,4879,5657,3087,591,742,0,0,0,0,0,0,20231103
6호선,대흥(서강대앞),11,0,2538,853,5626,4385,15187,15096,22659,36319,14792,20067,11016,18568,11653,13607,14663,14673,15892,17637,14463,13814,16429,13820,22503,16176,26405,19829,25749,25877,13972,16799,12394,10241,13256,9361,11940,9001,4385,6705,562,1637,0,0,0,0,0,0,20231103
6호선,독바위,2,0,2536,125,4817,926,13875,2050,12423,3586,7175,3276,5089,3702,4532,2909,4771,3302,4334,3341,3684,3587,3902,4308,3874,6084,3455,7322,2903,11835,1707,10375,1159,6069,908,5342,628,5252,241,3233,72,1211,0,0,0,0,0,0,20231103
6호선,돌곶이,32,1,6978,1410,14705,5087,39314,6055,44116,17411,22922,14279,15731,13404,14241,10477,15454,12735,15683,11617,15499,11406,14019,14674,15102,17934,17547,22574,16540,33667,11201,27439,6477,15976,6216,14270,4812,13828,2540,8612,315,2803,0,0,0,0,0,0,20231103
6호선,동묘앞,191,1,4724,1001,4975,4754,9768,7942,15135,22138,11890,18428,11660,17030,13948,17488,17512,17573,17748,19422,20204,18658,23439,17928,26314,16960,25961,15996,23312,18156,12565,13629,9517,9369,7314,9247,5683,8854,2614,8006,373,1973,0,93,0,0,0,0,20231103
6호선,디지털미디어시티,136,1,7003,2793,16818,12434,50624,28280,53707,66798,31250,29537,20025,12374,16901,11846,17480,13634,16713,14462,15163,15240,16097,17650,21444,24575,34952,33406,45592,50441,20299,37094,11994,23287,8840,20860,9918,19312,3221,11817,615,4505,1,5,0,0,0,0,20231103
6호선,마포구청,20,3,6868,1817,14086,7830,40405,13835,54576,34466,34121,19638,22353,14786,20972,14615,22359,18156,21728,19168,20455,17496,21894,21597,24826,23232,29371,29197,37436,42754,19738,32423,14042,20757,12816,18663,11015,18336,4560,11819,645,2853,0,0,0,0,0,0,20231103
6호선,망원,2,0,5888,903,10544,5095,26862,10087,36363,30768,25470,30372,18317,22974,18947,26724,23126,29931,23793,34448,24408,31697,26720,35296,29336,36812,33540,40545,42458,48843,29092,34353,25124,19064,22736,16680,17772,14011,8645,9811,988,2097,0,0,0,0,0,0,20231103
6호선,버티고개,1,0,893,454,1866,1491,5306,2608,7788,5257,5267,3185,4013,2645,3535,2375,3413,2583,3207,3124,3106,3420,3383,3857,3695,4468,4520,5196,6176,6883,3272,5512,2105,3523,1807,3497,1421,3061,584,2089,83,556,0,30,0,0,0,0,20231103
6호선,보문,18,0,3909,1147,7600,4556,21764,9610,32837,19374,17676,10693,11632,7755,10721,7692,12022,8001,11802,9036,10955,8249,11782,9571,14492,11548,14732,15815,17830,24508,9016,17756,7047,12437,6382,12194,5543,12341,2997,8880,565,2601,0,0,0,0,0,0,20231103
6호선,봉화산(서울의료원),16,1,5554,939,15263,2906,47231,5953,39539,13083,20785,8085,15874,6643,13666,6872,13426,8381,12131,10134,10683,10245,10343,13624,11654,16309,12504,21669,11094,31418,5489,29417,4214,17474,3591,14425,2946,14173,1158,8520,142,2888,1,200,0,0,0,0,20231103
6호선,불광,33,1,1752,649,4211,1955,11546,4111,13797,7880,8259,7648,6756,6363,7248,6551,8135,6484,8598,7748,9141,7429,10306,8369,11256,9190,10644,10666,10069,14835,5746,11535,4864,6609,4001,5908,2157,5670,972,3530,130,1089,0,0,1,1,0,0,20231103
6호선,삼각지,3,1,1504,864,3221,6236,8412,14681,13615,27193,10211,12497,8136,9501,9444,9385,10747,9692,12704,10139,12991,9291,14999,9801,18533,10587,23863,12679,29918,16087,13758,10231,11159,7437,11674,6591,9252,7245,5227,4956,628,1266,0,0,0,0,0,0,20231103
